period_name,origin_name,destination_name,product_name,transport_mode,lane_status,mode_selection_rule,variable_transport_cost,variable_transport_cost_basis,transport_time,transport_time_basis,distance,distance_basis
,SUP_397,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_397,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
